date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:05:38	105133/105133	---M-Z	200	added ('OK')	text/html	etag:%2219aad-5ee32aa084f00-gzip%22	https://themesflat.co/html/cyfoniihtml/home-v3.html	D:/work/themesflat.co/html/cyfoniihtml/home-v3.html	(from )
20:05:40	114/114	---MC-	200	added ('OK')	text/plain	date:Fri,%2014%20Jul%202023%2014:35:41%20GMT	https://themesflat.co/robots.txt		(from )
20:05:42	18429/18429	---M-Z	200	added ('OK')	text/css	etag:W/%2247fd-lFa8Ol5sGpQnRLY/zjs8/EE1yWk%22	https://cdn.jsdelivr.net/npm/swiper/swiper-bundle.min.css	D:/work/cdn.jsdelivr.net/npm/swiper/swiper-bundle.min.css	(from https://themesflat.co/html/cyfoniihtml/home-v3.html)
20:05:44	26053/26053	---M--	200	added ('OK')	text/css	etag:%2265c5-5e7e6e9f20540%22	https://themesflat.co/html/cyfoniihtml/app/dist/aos.css	D:/work/themesflat.co/html/cyfoniihtml/app/dist/aos.css	(from https://themesflat.co/html/cyfoniihtml/home-v3.html)
20:05:47	11567/11567	---M--	200	added ('OK')	image/png	etag:%222d2f-5e7ffe38e8c00%22	https://themesflat.co/html/cyfoniihtml/assets/images/logo/favicon.png	D:/work/themesflat.co/html/cyfoniihtml/assets/images/logo/favicon.png	(from https://themesflat.co/html/cyfoniihtml/home-v3.html)
20:05:47	109994/109994	---M--	200	added ('OK')	text/css	etag:%221adaa-5ee32d2904900%22	https://themesflat.co/html/cyfoniihtml/app/dist/app.css	D:/work/themesflat.co/html/cyfoniihtml/app/dist/app.css	(from https://themesflat.co/html/cyfoniihtml/home-v3.html)
20:05:48	125592/125592	---M-Z	200	added ('OK')	text/html	etag:%221ea98-5ee32aa084f00-gzip%22	https://themesflat.co/html/cyfoniihtml/index.html	D:/work/themesflat.co/html/cyfoniihtml/index.html	(from https://themesflat.co/html/cyfoniihtml/home-v3.html)
20:05:49	1534/1534	---M--	200	added ('OK')	image/png	etag:%225fe-5e7ffe5584f80%22	https://themesflat.co/html/cyfoniihtml/assets/images/logo/logo.png	D:/work/themesflat.co/html/cyfoniihtml/assets/images/logo/logo.png	(from https://themesflat.co/html/cyfoniihtml/home-v3.html)
20:05:50	108788/108788	---M-Z	200	added ('OK')	text/html	etag:%221a8f4-5ee32aa084f00-gzip%22	https://themesflat.co/html/cyfoniihtml/home-v2.html	D:/work/themesflat.co/html/cyfoniihtml/home-v2.html	(from https://themesflat.co/html/cyfoniihtml/home-v3.html)
20:05:50	107362/107362	---M-Z	200	added ('OK')	text/html	etag:%221a362-5ee32aa084f00-gzip%22	https://themesflat.co/html/cyfoniihtml/cardcarousel.html	D:/work/themesflat.co/html/cyfoniihtml/cardcarousel.html	(from https://themesflat.co/html/cyfoniihtml/home-v3.html)
20:05:50	129399/129399	---M-Z	200	added ('OK')	text/html	etag:%221f977-5ee32aa084f00-gzip%22	https://themesflat.co/html/cyfoniihtml/zigzagcarousel.html	D:/work/themesflat.co/html/cyfoniihtml/zigzagcarousel.html	(from https://themesflat.co/html/cyfoniihtml/home-v3.html)
20:05:51	112816/112816	---M-Z	200	added ('OK')	text/html	etag:%221b8b0-5ee32aa731ec0-gzip%22	https://themesflat.co/html/cyfoniihtml/coverflowcarousel.html	D:/work/themesflat.co/html/cyfoniihtml/coverflowcarousel.html	(from https://themesflat.co/html/cyfoniihtml/home-v3.html)
20:05:51	106001/106001	---M-Z	200	added ('OK')	text/html	etag:%2219e11-5ee32aa084f00-gzip%22	https://themesflat.co/html/cyfoniihtml/itemcarousel.html	D:/work/themesflat.co/html/cyfoniihtml/itemcarousel.html	(from https://themesflat.co/html/cyfoniihtml/home-v3.html)
20:05:51	110260/110260	---M-Z	200	added ('OK')	text/html	etag:%221aeb4-5ee32aa084f00-gzip%22	https://themesflat.co/html/cyfoniihtml/3dcarousel.html	D:/work/themesflat.co/html/cyfoniihtml/3dcarousel.html	(from https://themesflat.co/html/cyfoniihtml/home-v3.html)
20:05:52	54414/54414	---M-Z	200	added ('OK')	text/html	etag:%22d48e-5ee32aa084f00-gzip%22	https://themesflat.co/html/cyfoniihtml/nft.html	D:/work/themesflat.co/html/cyfoniihtml/nft.html	(from https://themesflat.co/html/cyfoniihtml/home-v3.html)
20:05:52	47133/47133	---M-Z	200	added ('OK')	text/html	etag:%22b81d-5ee32aa084f00-gzip%22	https://themesflat.co/html/cyfoniihtml/blog.html	D:/work/themesflat.co/html/cyfoniihtml/blog.html	(from https://themesflat.co/html/cyfoniihtml/home-v3.html)
20:05:53	47844/47844	---M-Z	200	added ('OK')	text/html	etag:%22bae4-5ee32aa084f00-gzip%22	https://themesflat.co/html/cyfoniihtml/blog-details.html	D:/work/themesflat.co/html/cyfoniihtml/blog-details.html	(from https://themesflat.co/html/cyfoniihtml/home-v3.html)
20:05:54	69488/69488	---M-Z	200	added ('OK')	text/html	etag:%2210f70-5ee32aa084f00-gzip%22	https://themesflat.co/html/cyfoniihtml/vision-mission.html	D:/work/themesflat.co/html/cyfoniihtml/vision-mission.html	(from https://themesflat.co/html/cyfoniihtml/home-v3.html)
